time_sec,x,y,yaw
0.000,-0.0000,-0.0000,0.0000
1.200,0.0491,0.0125,0.2653
1.350,0.0996,0.0271,0.2958
1.500,0.1496,0.0430,0.3223
1.650,0.1992,0.0602,0.3452
1.800,0.2484,0.0785,0.3653
1.950,0.2972,0.0977,0.3833
2.100,0.3458,0.1177,0.3988
2.250,0.3940,0.1385,0.4123
2.400,0.4420,0.1598,0.4244
2.550,0.4897,0.1817,0.4349
2.700,0.5372,0.2040,0.4440
2.850,0.5845,0.2268,0.4522
3.000,0.6317,0.2499,0.4593
3.150,0.6787,0.2733,0.4657
3.300,0.7255,0.2970,0.4713
3.450,0.7722,0.3210,0.4762
3.600,0.8188,0.3451,0.4805
3.750,0.8653,0.3695,0.4844
3.900,0.9117,0.3940,0.4878
4.050,0.9581,0.4187,0.4908
4.200,1.0043,0.4435,0.4935
4.350,1.0506,0.4684,0.4960
4.500,1.0967,0.4935,0.4981
4.650,1.1428,0.5186,0.5001
4.800,1.1888,0.5438,0.5018
4.950,1.2349,0.5691,0.5034
5.100,1.2807,0.5944,0.5048
5.300,1.3379,0.6260,0.5065
5.500,1.3904,0.6553,0.5080
5.700,1.4389,0.6823,0.5093
5.900,1.4832,0.7071,0.5105
6.150,1.5340,0.7356,0.5117
6.400,1.5798,0.7613,0.5128
6.700,1.6288,0.7889,0.5139
7.050,1.6787,0.8172,0.5149
7.450,1.7276,0.8449,0.5158
7.900,1.7738,0.8710,0.5166
8.450,1.8196,0.8971,0.5173
10.550,1.8730,0.9073,0.1004
10.700,1.9252,0.9133,0.1260
10.850,1.9772,0.9205,0.1481
11.000,2.0290,0.9287,0.1677
11.150,2.0807,0.9379,0.1847
11.300,2.1323,0.9480,0.1998
11.450,2.1836,0.9588,0.2131
11.600,2.2349,0.9702,0.2245
11.750,2.2860,0.9821,0.2344
11.900,2.3370,0.9945,0.2431
12.050,2.3879,1.0074,0.2511
12.200,2.4387,1.0206,0.2580
12.350,2.4895,1.0341,0.2640
12.500,2.5401,1.0480,0.2693
12.650,2.5907,1.0621,0.2740
12.800,2.6412,1.0764,0.2781
12.950,2.6916,1.0909,0.2816
13.100,2.7421,1.1056,0.2849
13.250,2.7924,1.1204,0.2877
13.400,2.8427,1.1353,0.2902
13.550,2.8930,1.1504,0.2925
13.700,2.9433,1.1656,0.2945
13.850,2.9935,1.1809,0.2963
14.000,3.0437,1.1963,0.2979
14.150,3.0939,1.2117,0.2993
14.300,3.1440,1.2272,0.3007
14.450,3.1942,1.2428,0.3018
14.600,3.2428,1.2580,0.3029
14.800,3.3028,1.2768,0.3042
15.000,3.3579,1.2941,0.3053
15.200,3.4092,1.3103,0.3063
15.450,3.4671,1.3286,0.3074
15.700,3.5195,1.3453,0.3083
16.000,3.5753,1.3631,0.3092
16.300,3.6249,1.3790,0.3100
16.650,3.6755,1.3952,0.3107
17.050,3.7248,1.4110,0.3113
17.550,3.7761,1.4275,0.3119
21.100,3.8299,1.4152,-0.9033
21.250,3.8618,1.3734,-0.9354
21.400,3.8923,1.3307,-0.9637
21.550,3.9217,1.2872,-0.9880
21.700,3.9501,1.2431,-1.0096
21.850,3.9776,1.1984,-1.0280
22.000,4.0044,1.1532,-1.0440
22.150,4.0305,1.1076,-1.0579
22.300,4.0559,1.0617,-1.0704
22.450,4.0809,1.0155,-1.0810
22.600,4.1054,0.9691,-1.0901
22.750,4.1294,0.9224,-1.0983
22.900,4.1532,0.8756,-1.1054
23.050,4.1766,0.8286,-1.1116
23.200,4.1997,0.7815,-1.1170
23.350,4.2226,0.7343,-1.1217
23.500,4.2453,0.6869,-1.1259
23.650,4.2678,0.6395,-1.1295
23.800,4.2901,0.5920,-1.1327
23.950,4.3123,0.5444,-1.1355
24.100,4.3344,0.4968,-1.1380
24.250,4.3564,0.4491,-1.1401
24.400,4.3783,0.4014,-1.1420
24.550,4.4000,0.3536,-1.1437
24.700,4.4218,0.3058,-1.1452
24.850,4.4434,0.2580,-1.1465
25.000,4.4650,0.2101,-1.1477
25.150,4.4865,0.1622,-1.1487
25.300,4.5080,0.1143,-1.1496
25.450,4.5295,0.0664,-1.1504
25.600,4.5509,0.0185,-1.1511
25.750,4.5722,-0.0295,-1.1518
25.900,4.5936,-0.0775,-1.1524
26.050,4.6149,-0.1254,-1.1529
26.200,4.6362,-0.1734,-1.1533
26.350,4.6574,-0.2213,-1.1538
26.500,4.6782,-0.2681,-1.1542
26.700,4.7038,-0.3261,-1.1546
26.900,4.7272,-0.3791,-1.1550
27.100,4.7489,-0.4282,-1.1554
27.350,4.7734,-0.4839,-1.1558
27.600,4.7958,-0.5348,-1.1561
27.900,4.8196,-0.5888,-1.1564
28.200,4.8406,-0.6366,-1.1567
28.550,4.8621,-0.6855,-1.1570
28.950,4.8831,-0.7333,-1.1572
29.450,4.9048,-0.7828,-1.1574
37.900,4.9037,-0.8353,-2.6579
38.050,4.8576,-0.8604,-2.6269
38.200,4.8123,-0.8869,-2.5993
38.350,4.7677,-0.9146,-2.5751
38.500,4.7237,-0.9432,-2.5540
38.650,4.6803,-0.9727,-2.5355
38.800,4.6374,-1.0030,-2.5187
38.950,4.5950,-1.0339,-2.5043
39.100,4.5530,-1.0654,-2.4915
39.250,4.5114,-1.0975,-2.4800
39.400,4.4701,-1.1299,-2.4701
39.550,4.4292,-1.1628,-2.4611
39.700,4.3885,-1.1960,-2.4532
39.850,4.3481,-1.2295,-2.4463
40.000,4.3078,-1.2632,-2.4399
40.150,4.2679,-1.2972,-2.4343
40.300,4.2280,-1.3315,-2.4292
40.450,4.1884,-1.3659,-2.4246
40.600,4.1489,-1.4004,-2.4205
40.750,4.1098,-1.4349,-2.4168
40.950,4.0608,-1.4785,-2.4124
41.150,4.0158,-1.5189,-2.4085
41.350,3.9742,-1.5565,-2.4050
41.550,3.9362,-1.5910,-2.4020
41.800,3.8927,-1.6308,-2.3987
42.050,3.8540,-1.6665,-2.3959
42.350,3.8125,-1.7049,-2.3931
42.700,3.7704,-1.7442,-2.3904
43.100,3.7292,-1.7827,-2.3880
43.550,3.6904,-1.8192,-2.3859
44.100,3.6517,-1.8558,-2.3841
47.300,3.5883,-1.8569,2.9535
47.450,3.5369,-1.8463,2.9234
47.600,3.4858,-1.8342,2.8970
47.750,3.4350,-1.8209,2.8741
47.900,3.3845,-1.8065,2.8543
48.050,3.3343,-1.7912,2.8369
48.200,3.2843,-1.7751,2.8215
48.350,3.2346,-1.7582,2.8082
48.500,3.1851,-1.7408,2.7964
48.650,3.1358,-1.7227,2.7862
48.800,3.0866,-1.7042,2.7771
48.950,3.0377,-1.6853,2.7692
49.100,2.9888,-1.6660,2.7620
49.250,2.9401,-1.6464,2.7558
49.400,2.8916,-1.6265,2.7504
49.550,2.8431,-1.6064,2.7457
49.700,2.7947,-1.5861,2.7414
49.850,2.7464,-1.5655,2.7376
50.000,2.6981,-1.5448,2.7343
50.150,2.6499,-1.5239,2.7315
50.300,2.6018,-1.5029,2.7288
50.450,2.5538,-1.4818,2.7265
50.600,2.5057,-1.4606,2.7245
50.750,2.4578,-1.4393,2.7226
50.900,2.4098,-1.4179,2.7209
51.050,2.3619,-1.3964,2.7195
51.200,2.3140,-1.3749,2.7181
51.350,2.2663,-1.3533,2.7169
51.500,2.2204,-1.3325,2.7158
51.700,2.1628,-1.3064,2.7145
51.900,2.1102,-1.2824,2.7133
52.100,2.0619,-1.2603,2.7123
52.350,2.0066,-1.2350,2.7112
52.600,1.9572,-1.2122,2.7103
52.900,1.9039,-1.1877,2.7093
53.200,1.8569,-1.1660,2.7085
53.550,1.8089,-1.1438,2.7078
53.950,1.7619,-1.1220,2.7071
54.450,1.7133,-1.0994,2.7065
62.300,1.6651,-1.0688,2.2168
62.450,1.6343,-1.0264,2.1836
62.600,1.6047,-0.9830,2.1547
62.750,1.5763,-0.9388,2.1298
62.900,1.5490,-0.8940,2.1085
63.050,1.5225,-0.8487,2.0895
63.200,1.4969,-0.8029,2.0732
63.350,1.4719,-0.7567,2.0592
63.500,1.4476,-0.7102,2.0471
63.650,1.4238,-0.6634,2.0363
63.800,1.4004,-0.6164,2.0270
63.950,1.3775,-0.5691,2.0190
64.100,1.3549,-0.5217,2.0117
64.250,1.3327,-0.4742,2.0054
64.400,1.3107,-0.4265,2.0000
64.550,1.2890,-0.3787,1.9954
64.700,1.2674,-0.3308,1.9914
64.850,1.2461,-0.2829,1.9879
65.000,1.2249,-0.2348,1.9848
65.150,1.2038,-0.1867,1.9821
65.300,1.1829,-0.1386,1.9797
65.450,1.1621,-0.0904,1.9776
65.600,1.1414,-0.0422,1.9757
65.750,1.1207,0.0061,1.9741
65.900,1.1001,0.0544,1.9727
66.050,1.0796,0.1027,1.9714
66.200,1.0592,0.1511,1.9703
66.350,1.0388,0.1995,1.9694
66.500,1.0184,0.2479,1.9685
66.650,0.9981,0.2963,1.9677
66.800,0.9778,0.3447,1.9670
66.950,0.9576,0.3931,1.9664
67.100,0.9374,0.4416,1.9659
67.250,0.9172,0.4901,1.9654
67.400,0.8970,0.5385,1.9650
67.550,0.8769,0.5870,1.9646
67.700,0.8567,0.6355,1.9642
67.850,0.8366,0.6840,1.9639
68.000,0.8166,0.7323,1.9636
68.200,0.7914,0.7931,1.9633
68.400,0.7682,0.8491,1.9630
68.600,0.7468,0.9010,1.9627
68.800,0.7272,0.9484,1.9625
69.050,0.7048,1.0026,1.9623
69.300,0.6846,1.0515,1.9620
69.600,0.6631,1.1037,1.9618
69.950,0.6412,1.1568,1.9616
70.350,0.6197,1.2089,1.9614
70.800,0.5995,1.2582,1.9613
71.350,0.5792,1.3074,1.9611
